1,1,319,1,\N,"2025-06-18 17:48:23"
2,1,327,2,"冉姨","2025-06-09 00:26:28"
3,1,4285,3,\N,"2025-06-14 19:04:41"
4,3,1878,1,\N,"2025-06-25 00:38:32"
5,6,4505,1,\N,"2025-06-10 00:25:21"
6,6,4367,2,"唐哥","2025-06-18 02:09:09"
7,6,3809,3,\N,"2025-07-01 06:56:44"
8,7,2203,1,\N,"2025-06-20 18:12:28"
9,7,3090,2,"小倪","2025-06-27 15:47:09"
10,7,839,3,"岳弟","2025-06-12 00:48:48"
11,8,2880,1,\N,"2025-06-10 18:46:14"
12,9,820,1,\N,"2025-06-22 23:53:25"
13,9,3729,2,\N,"2025-07-03 02:54:28"
14,9,2217,3,\N,"2025-06-26 01:49:00"
15,10,1579,1,\N,"2025-06-14 08:38:06"
16,11,2159,1,\N,"2025-06-29 21:38:33"
17,11,2067,2,"萧妹","2025-06-21 03:54:10"
18,11,760,3,"大马","2025-06-27 12:23:32"
19,13,2932,1,\N,"2025-06-23 00:23:53"
20,13,326,3,"翟叔","2025-06-28 06:44:22"
21,13,2221,3,\N,"2025-06-21 08:51:15"
22,14,762,1,\N,"2025-06-12 12:24:42"
23,15,4313,1,\N,"2025-06-30 01:37:25"
24,16,2006,1,\N,"2025-06-05 03:42:24"
25,16,4532,3,\N,"2025-06-27 18:04:47"
26,18,3384,1,\N,"2025-06-30 14:41:56"
27,19,3073,1,\N,"2025-07-01 17:03:19"
28,19,3499,2,"大蓝","2025-07-03 03:36:48"
29,20,382,1,\N,"2025-07-01 03:40:28"
30,20,3999,3,"阿姚","2025-07-03 14:33:07"
31,20,2926,3,\N,"2025-06-29 04:31:19"
32,21,2790,1,\N,"2025-07-02 02:03:58"
33,21,1373,2,\N,"2025-07-02 00:29:02"
34,21,2100,2,"吴叔","2025-06-29 14:23:13"
35,22,3433,1,\N,"2025-06-29 19:53:26"
36,22,3356,3,"包叔","2025-06-24 19:54:03"
37,22,4657,2,"老姜","2025-06-22 05:07:01"
38,23,4019,1,\N,"2025-06-29 04:18:29"
39,23,2720,2,"老皇","2025-06-24 19:53:07"
40,24,3832,1,\N,"2025-07-02 03:19:55"
41,25,3574,1,\N,"2025-06-03 02:30:05"
42,25,14,2,\N,"2025-06-23 19:42:13"
43,26,4701,1,\N,"2025-06-18 15:13:13"
44,26,4387,2,"老纪","2025-06-17 15:37:26"
45,26,4657,2,\N,"2025-06-20 13:54:06"
46,27,2633,1,\N,"2025-06-16 03:00:22"
47,27,2120,3,\N,"2025-06-22 05:02:05"
48,28,3671,1,\N,"2025-06-24 18:01:56"
49,28,2031,3,\N,"2025-07-02 22:59:06"
50,29,3537,1,\N,"2025-06-21 06:34:48"
51,29,4722,3,\N,"2025-06-14 22:33:36"
52,29,3478,2,\N,"2025-06-16 15:26:33"
53,31,796,1,\N,"2025-06-15 06:50:56"
54,31,3748,3,\N,"2025-06-21 09:49:43"
55,32,3809,1,\N,"2025-06-22 15:49:18"
56,32,1107,2,\N,"2025-07-02 22:08:30"
57,33,490,1,\N,"2025-06-28 18:20:30"
58,33,4808,3,\N,"2025-06-29 07:12:00"
59,34,2580,1,\N,"2025-06-25 17:59:31"
60,34,356,3,\N,"2025-06-19 21:54:21"
61,34,378,3,\N,"2025-06-23 07:11:07"
62,35,504,1,\N,"2025-06-17 08:34:58"
63,35,1442,2,\N,"2025-06-12 01:41:50"
64,35,3660,3,\N,"2025-06-14 12:07:11"
65,36,1428,1,\N,"2025-06-27 23:51:45"
66,36,658,2,\N,"2025-06-29 15:26:45"
67,36,4640,2,\N,"2025-06-24 10:24:54"
68,39,946,1,\N,"2025-06-23 18:26:18"
69,39,2552,3,\N,"2025-06-27 04:12:31"
70,40,99,1,\N,"2025-06-17 09:20:14"
71,41,1177,1,\N,"2025-06-23 12:31:58"
72,41,3024,2,"老崔","2025-06-19 13:09:55"
73,41,2732,2,\N,"2025-06-22 18:59:39"
74,42,3156,1,\N,"2025-06-28 15:42:53"
75,42,4926,3,\N,"2025-06-03 20:42:42"
76,42,1372,3,\N,"2025-06-21 08:31:53"
77,43,3419,1,\N,"2025-06-26 01:26:46"
78,45,4208,1,\N,"2025-07-03 16:37:22"
79,46,4798,1,\N,"2025-06-14 09:22:43"
80,48,2952,1,\N,"2025-06-27 03:40:54"
81,48,2147,2,"苏叔","2025-06-24 02:51:25"
82,48,4856,3,\N,"2025-07-02 00:54:07"
83,50,2774,1,\N,"2025-06-16 11:38:51"
84,50,3695,3,\N,"2025-06-18 02:55:52"
85,50,3186,3,"老宋","2025-06-21 23:15:48"
86,52,1019,1,\N,"2025-06-12 15:35:40"
87,52,2304,2,\N,"2025-06-14 20:06:34"
88,53,1132,1,\N,"2025-06-25 17:57:24"
89,53,2789,3,\N,"2025-06-21 05:07:35"
90,53,1577,3,\N,"2025-07-01 22:13:02"
91,54,4375,1,\N,"2025-06-27 18:05:28"
92,54,1839,3,\N,"2025-07-02 09:54:39"
93,54,4777,2,"徐姐","2025-06-15 17:32:15"
94,55,1818,1,\N,"2025-06-16 23:34:03"
95,55,2462,3,"施哥","2025-06-28 04:00:42"
96,57,2502,1,\N,"2025-07-02 13:15:29"
97,58,696,1,\N,"2025-07-02 16:29:56"
98,58,2889,2,"阿彭","2025-06-20 06:09:30"
99,59,1379,1,\N,"2025-07-03 03:03:03"
100,59,4276,2,\N,"2025-07-02 06:56:05"
101,59,1472,2,"老白","2025-07-03 01:45:09"
102,62,3442,1,\N,"2025-06-05 22:46:13"
103,62,1150,3,\N,"2025-06-08 14:42:38"
104,62,1424,2,\N,"2025-06-25 22:01:53"
105,63,402,1,\N,"2025-06-22 10:03:31"
106,65,2592,1,\N,"2025-06-24 23:01:40"
107,66,3631,1,\N,"2025-07-02 03:09:58"
108,66,2383,3,"阿秦","2025-07-03 19:29:12"
109,67,1628,1,\N,"2025-07-01 19:43:11"
110,67,2380,2,\N,"2025-07-03 01:50:04"
111,72,3430,1,\N,"2025-06-11 10:58:20"
112,72,4806,2,"章哥","2025-06-26 20:38:36"
113,72,2044,2,"大耿","2025-06-10 22:12:27"
114,73,1345,1,\N,"2025-07-02 23:32:53"
115,75,3690,1,\N,"2025-06-21 00:03:50"
116,76,2217,1,\N,"2025-06-25 22:25:58"
117,76,2325,2,\N,"2025-06-16 13:18:27"
118,76,3460,3,"曾姐","2025-06-09 13:36:31"
119,79,659,1,\N,"2025-06-24 21:53:15"
120,81,2674,1,\N,"2025-06-21 06:29:47"
121,81,3421,2,\N,"2025-06-24 04:26:16"
122,81,2204,2,\N,"2025-06-22 03:55:18"
123,83,2795,1,\N,"2025-06-19 13:05:20"
124,83,880,3,"大曲","2025-07-01 12:11:16"
125,84,1383,1,\N,"2025-07-03 01:59:27"
126,85,1260,1,\N,"2025-06-18 09:50:41"
127,85,1931,3,"阿阮","2025-06-26 00:29:19"
128,86,4446,1,\N,"2025-07-02 15:00:57"
129,86,327,3,"冉叔","2025-06-17 13:04:49"
130,86,2433,2,"大朱","2025-07-03 03:21:04"
131,88,3327,1,\N,"2025-06-27 09:14:46"
132,88,1443,3,"申妹","2025-06-19 01:48:59"
133,88,1728,2,\N,"2025-06-11 08:40:39"
134,89,1851,1,\N,"2025-06-15 04:36:06"
135,90,4233,1,\N,"2025-06-15 20:38:48"
136,90,2433,3,"大朱","2025-06-10 09:28:48"
137,92,115,1,\N,"2025-06-07 11:12:16"
138,92,4641,2,\N,"2025-06-30 03:34:38"
139,92,2163,3,"欧姐","2025-06-09 08:06:08"
140,93,430,1,\N,"2025-06-16 20:55:42"
141,93,2540,2,\N,"2025-06-20 11:17:23"
142,94,170,1,\N,"2025-06-28 18:39:39"
143,94,349,2,"大余","2025-07-03 09:33:29"
144,94,1537,2,"史姐","2025-07-03 01:03:55"
145,95,4615,1,\N,"2025-06-22 08:50:54"
146,95,4189,3,\N,"2025-06-15 17:01:35"
147,95,2548,2,\N,"2025-06-27 05:57:25"
148,97,1031,1,\N,"2025-07-01 02:31:04"
149,97,4172,2,"欧叔","2025-07-03 02:45:51"
150,97,2309,2,"阿毛","2025-07-03 17:19:17"
151,98,482,1,\N,"2025-06-16 10:04:53"
152,98,1689,3,\N,"2025-06-16 17:49:08"
153,98,4750,3,"洪弟","2025-06-09 15:28:31"
154,99,1193,1,\N,"2025-06-28 20:59:19"
155,99,4415,3,"安叔","2025-07-03 07:34:55"
156,101,44,1,\N,"2025-06-25 14:25:27"
157,101,4085,3,\N,"2025-07-01 10:38:11"
158,102,2100,1,\N,"2025-06-29 10:33:06"
159,103,4458,1,\N,"2025-06-18 19:42:11"
160,103,4486,3,\N,"2025-06-28 23:30:32"
161,104,2586,1,\N,"2025-07-02 00:49:14"
162,104,2450,3,"阿章","2025-06-19 22:05:14"
163,105,2703,1,\N,"2025-07-02 00:09:50"
164,106,4118,1,\N,"2025-06-30 17:39:39"
165,106,4972,3,"戴弟","2025-06-10 09:12:42"
166,106,1797,3,\N,"2025-06-17 21:36:02"
167,107,4776,1,\N,"2025-06-28 11:08:25"
168,107,610,2,\N,"2025-06-26 14:31:33"
169,107,3772,2,"王妹","2025-06-29 23:36:10"
170,108,2840,1,\N,"2025-06-22 22:59:20"
171,108,868,3,\N,"2025-07-02 11:02:50"
172,108,367,3,"阿田","2025-06-21 23:14:11"
173,109,1000,1,\N,"2025-07-02 16:05:05"
174,109,496,2,"阿林","2025-06-13 13:47:42"
175,109,1355,2,\N,"2025-06-27 17:08:09"
176,110,3140,1,\N,"2025-06-27 00:03:44"
177,110,1308,2,"大叶","2025-06-29 10:33:37"
178,111,3383,1,\N,"2025-06-14 08:31:16"
179,112,1489,1,\N,"2025-07-02 07:06:53"
180,112,2176,3,"申姐","2025-06-25 19:51:51"
181,113,40,1,\N,"2025-06-27 15:07:12"
182,114,2953,1,\N,"2025-06-20 07:12:40"
183,114,4128,2,\N,"2025-06-20 20:17:04"
184,114,1766,2,\N,"2025-06-19 14:02:46"
185,116,635,1,\N,"2025-06-15 01:04:12"
186,116,2574,2,\N,"2025-06-24 19:29:05"
187,118,4950,1,\N,"2025-06-30 12:16:14"
188,119,2870,1,\N,"2025-07-02 04:51:52"
189,119,4306,3,\N,"2025-06-20 01:24:41"
190,119,3780,2,\N,"2025-06-30 22:15:15"
191,120,3977,1,\N,"2025-06-22 04:34:45"
192,121,3780,1,\N,"2025-06-29 17:32:31"
193,121,3469,3,"小易","2025-07-02 13:56:41"
194,122,2321,1,\N,"2025-06-23 12:55:25"
195,122,2487,3,\N,"2025-07-03 03:56:09"
196,122,3514,3,"阿皇","2025-06-24 16:02:48"
197,123,1121,1,\N,"2025-06-28 23:35:19"
198,124,956,1,\N,"2025-07-01 09:39:22"
199,124,708,2,\N,"2025-06-29 06:42:51"
200,124,4211,2,\N,"2025-07-03 11:31:49"
201,125,4158,1,\N,"2025-06-12 06:30:46"
202,128,456,1,\N,"2025-06-26 09:01:52"
203,128,167,2,"大诸","2025-06-25 00:03:30"
204,128,2861,2,\N,"2025-07-01 16:04:54"
205,130,3932,1,\N,"2025-06-15 20:40:52"
206,130,237,3,\N,"2025-06-12 09:24:44"
207,130,1152,3,"洪弟","2025-06-28 14:12:58"
208,134,4855,1,\N,"2025-06-29 18:03:40"
209,134,1296,2,"老黄","2025-07-03 22:30:48"
210,135,2414,1,\N,"2025-06-24 05:45:45"
211,135,4807,3,\N,"2025-06-23 23:30:42"
212,136,4053,1,\N,"2025-06-23 12:46:10"
213,136,2123,2,"尉叔","2025-06-23 14:38:49"
214,138,3074,1,\N,"2025-06-29 02:56:09"
215,138,4737,2,"阿萧","2025-06-30 23:03:30"
216,138,4576,3,"姜妹","2025-06-26 17:33:48"
217,139,4471,1,\N,"2025-06-26 22:20:38"
218,139,1411,2,"阿邢","2025-06-24 18:54:26"
219,139,4047,3,"阿雷","2025-06-24 18:31:42"
220,140,1475,1,\N,"2025-06-25 20:09:04"
221,140,1285,3,\N,"2025-06-24 06:38:40"
222,140,4730,3,\N,"2025-06-20 19:23:27"
223,141,964,1,\N,"2025-06-29 19:48:12"
224,141,3163,2,\N,"2025-06-29 23:36:15"
225,143,4635,1,\N,"2025-06-22 06:43:36"
226,143,811,3,"阿冉","2025-06-20 13:01:34"
227,143,300,2,"翁弟","2025-06-26 02:35:33"
228,145,2129,1,\N,"2025-06-27 18:34:08"
229,145,4414,2,"诸姨","2025-06-19 21:06:57"
230,145,1611,3,\N,"2025-06-29 05:56:51"
231,146,1200,1,\N,"2025-06-23 19:40:20"
232,146,3417,3,\N,"2025-06-29 07:57:35"
233,149,4169,1,\N,"2025-06-28 03:21:22"
