1,"G101","G",1,3,"08:00:00.000000","12:30:00.000000",270
2,"D102","D",1,5,"09:30:00.000000","17:45:00.000000",495
3,"G103","G",3,5,"07:15:00.000000","14:30:00.000000",435
4,"G104","G",2,4,"10:20:00.000000","14:50:00.000000",270
5,"D105","D",5,3,"13:00:00.000000","20:15:00.000000",435
6,"G106","G",1,7,"08:30:00.000000","14:15:00.000000",345
7,"D107","D",3,8,"11:45:00.000000","16:30:00.000000",285
8,"G108","G",5,11,"09:00:00.000000","16:45:00.000000",465
9,"G109","G",7,1,"07:20:00.000000","13:05:00.000000",345
10,"D110","D",8,3,"14:15:00.000000","19:00:00.000000",285
11,"G111","G",11,5,"10:30:00.000000","18:15:00.000000",465
12,"G112","G",12,1,"06:45:00.000000","14:30:00.000000",465
13,"D113","D",4,9,"13:20:00.000000","15:50:00.000000",150
14,"G114","G",9,4,"16:30:00.000000","19:00:00.000000",150
15,"D115","D",5,19,"08:15:00.000000","13:45:00.000000",330
16,"G116","G",19,5,"14:30:00.000000","20:00:00.000000",330
17,"D117","D",1,12,"07:00:00.000000","14:45:00.000000",465
18,"G118","G",12,3,"15:30:00.000000","22:15:00.000000",405
19,"G119","G",3,11,"09:15:00.000000","18:30:00.000000",555
20,"D120","D",11,3,"07:45:00.000000","17:00:00.000000",555
21,"G121","G",5,12,"10:00:00.000000","18:45:00.000000",525
22,"D122","D",12,5,"08:30:00.000000","17:15:00.000000",525
23,"G123","G",1,8,"06:45:00.000000","12:15:00.000000",330
24,"D124","D",8,1,"13:00:00.000000","18:30:00.000000",330
25,"G125","G",3,7,"08:15:00.000000","13:45:00.000000",330
26,"D126","D",7,3,"14:30:00.000000","20:00:00.000000",330
27,"G127","G",5,11,"09:00:00.000000","16:45:00.000000",465
28,"D128","D",11,5,"07:30:00.000000","15:15:00.000000",465
29,"G129","G",1,19,"10:15:00.000000","17:45:00.000000",450
30,"D130","D",19,1,"08:00:00.000000","15:30:00.000000",450
31,"G131","G",3,12,"11:30:00.000000","19:15:00.000000",465
32,"D132","D",12,3,"09:00:00.000000","16:45:00.000000",465
33,"G133","G",5,7,"07:45:00.000000","13:15:00.000000",330
34,"D134","D",7,5,"14:00:00.000000","19:30:00.000000",330
35,"G135","G",1,9,"08:30:00.000000","13:00:00.000000",270
36,"D136","D",9,1,"13:30:00.000000","18:00:00.000000",270
37,"G137","G",3,19,"10:45:00.000000","16:15:00.000000",330
38,"D138","D",19,3,"08:15:00.000000","13:45:00.000000",330
39,"G139","G",5,8,"09:30:00.000000","15:00:00.000000",330
40,"D140","D",8,5,"07:00:00.000000","12:30:00.000000",330
41,"G141","G",1,17,"11:15:00.000000","14:45:00.000000",210
42,"D142","D",17,1,"15:30:00.000000","19:00:00.000000",210
43,"G143","G",3,11,"08:45:00.000000","18:00:00.000000",555
44,"D144","D",11,3,"06:15:00.000000","15:30:00.000000",555
